,Category,Name_Category,Name_SubCategory,slug,ecv
183,9,Fruits et légumes,Laitue,laitue,0.868145
184,9,Fruits et légumes,Mâche,mache,0.868145
185,9,Fruits et légumes,Navet,navet,0.3961
186,9,Fruits et légumes,Maïs,mais,0.568793
187,9,Fruits et légumes,Oignon,oignon,0.4204685
188,9,Fruits et légumes,Panais,panais,0.4942756
189,9,Fruits et légumes,Petit pois,petitpois,0.701761
190,9,Fruits et légumes,Poireau,poireau,0.6113778000000001
191,9,Fruits et légumes,Poivron,poivron,0.7154
192,9,Fruits et légumes,Potiron,potiron,0.6382329999999999
193,9,Fruits et légumes,Radis,radis,0.3847324
194,9,Fruits et légumes,Salsifis,salsifis,0.4942756
195,9,Fruits et légumes,Topinambour,topinambour,0.49126650000000005
196,9,Fruits et légumes,Cassis,cassis,1.903508
197,9,Fruits et légumes,Châtaigne,chataigne,1.943945
198,9,Fruits et légumes,Clémentine,clementine,1.3019120000000002
199,9,Fruits et légumes,Pamplemousse,pamplemousse,0.9255958
200,9,Fruits et légumes,Coing,coing,0.5615215
201,9,Fruits et légumes,Figue,figue,0.611508
202,9,Fruits et légumes,Groseille,groseille,1.8945215
203,9,Fruits et légumes,Kiwi,kiwi,1.0015
204,9,Fruits et légumes,Mandarine,mandarine,0.4684038
205,9,Fruits et légumes,Melon,melon,0.978343
206,9,Fruits et légumes,Mûre,mure,1.2475079999999998
207,9,Fruits et légumes,Nectarine,nectarine,0.613608
208,9,Fruits et légumes,Myrtille,myrtille,0.9215589
209,9,Fruits et légumes,Noisette,noisette,4.8111999999999995
210,9,Fruits et légumes,Noix,noix,4.114
211,9,Fruits et légumes,Prune,prune,1.0345215
212,9,Fruits et légumes,Reine claude,reineclaude,1.043508
213,9,Fruits et légumes,Rhubarbe,rhubarbe,0.7015215
214,9,Fruits et légumes,Pêche,peche,0.5905215
215,9,Fruits et légumes,Cerise,cerise,1.7445080000000002
216,9,Fruits et légumes,Abricot,abricot,1.451508
217,9,Fruits et légumes,Framboise,framboise,1.5430878
218,9,Fruits et légumes,Poire,poire,0.387319
219,9,Fruits et légumes,Raisin,raisin,0.5092949
220,9,Fruits et légumes,Aubergine,aubergine,0.47203700000000004
221,9,Fruits et légumes,Brocoli,brocoli,0.950705
222,9,Fruits et légumes,Tomate,tomate,0.6256
