,Category,Name_Category,Name_SubCategory,slug,ecv,User,Usage,Use_Total,Unité,Emoji,Category_ML
80,6,Électroménager,Réfrigérateur,refrigirateur,325.460716,0,8.83240334,8.83240334, ,🔌,Électroménager
81,6,Électroménager,Lave-linge,lavelinge,510.2572583409827,0,21.6932702,21.6932702, ,🔌,Électroménager
82,6,Électroménager,Climatiseur,climatiseur,413.8813,0,18.2596505,18.2596505, ,🔌,Électroménager
83,6,Électroménager,Aspirateur,aspirateur,47.31,0,,, ,🔌,Électroménager
84,7,Mobilier,Chaise en bois,chaiseenbois,18.63,1,0,18.63, ,🛏️,Mobilier
85,7,Mobilier,Canapé convertible,canapeconvertible,197.5,0,0,0, ,🛏️,Mobilier
86,7,Mobilier,Canapé en textile,canapetextile,179.1,0,0,0, ,🛏️,Mobilier
87,7,Mobilier,Table en bois,tableenbois,80.22,0,0,0, ,🛏️,Mobilier
88,7,Mobilier,Lit,lit,443.81,0,0,0, ,🛏️,Mobilier
89,7,Mobilier,Armoire,armoire,906.88,1,0,906.88, ,🛏️,Mobilier
90,8,Chauffage,Chauffage au fioul par m²,chauffagefioul,57.17,0,0,0, ,🔥,Chauffage
91,8,Chauffage,Chauffage au gaz par m²,chauffagegaz,39,0,0,0, ,🔥,Chauffage
92,8,Chauffage,Chauffage avec une pompe à chaleur par m²,pompeachaleur,3.95,2.769230769230769,0,10.938461538461539, ,🔥,Chauffage
93,8,Chauffage,Chauffage électrique par m²,chauffageelectrique,11.85,0,0,0, ,🔥,Chauffage
94,8,Chauffage,Chauffage via un réseau de chaleur par m²,reseaudechaleur,18.67,0,0,0, ,🔥,Chauffage
95,8,Chauffage,Chauffage avec un poêle à granulés par m²,poeleagranule,5.64,0,0,0, ,🔥,Chauffage
96,8,Chauffage,Chauffage avec un poêle à bois par m²,poeleabois,9.2,0,0,0, ,🔥,Chauffage
97,9,Fruits & Légumes,Fruits,Fruits,0.99,73,0,72.27, ,🍏,Fruits
98,9,Fruits & Légumes,Légumes,Légumes,0.9,219.00000000000003,0,197.10000000000002, ,🍏,Légumes
99,9,Fruits & Légumes,Mangues,Fruits,11.66,4.5,0,52.47, ,🍏,Fruits
100,10,Usage Numérique,Utilisation de Go de donnée (en quantité),Usage numérique,0.0095,520,0,4.9399999999999995, ,💻,Usage Numérique
101,10,Usage Numérique,Recherche sur le Web (en quantité),Usage numérique,0.051,260,0,13.26, ,💻,Usage Numérique
102,10,Usage Numérique,Email (en quantité),Usage numérique,0.00312,520,0,1.6224, ,💻,Usage Numérique
103,10,Usage Numérique,Stocker un Go de donnée (en quantité),Usage numérique,0.000235,26000,0,6.109999999999999, ,💻,Usage Numérique
104,10,Usage Numérique,Streaming Vidéo (en nombre d'heures),Usage numérique,0.064,1300,0,83.2, ,💻,Usage Numérique
